,FIPS,State_x,County_x,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,RECFAC09,GROC09,GROCPTH09,SUPERC09,SUPERCPTH09,CONVS09,CONVSPTH09,SPECS09,SPECSPTH09,SNAPS12,SNAPSPTH12,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_HHNV10,PCT_LACCESS_HHNV10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10
1755,35035,NM,Otero,7.6,9.5,24.9,4,7,0.112068137,1,0.0160097,25,0.400243348,1,0.0160097,33.916666666666664,0.513569853071072,8,6,-25.0,0.1263244,0.0908526,-28.07991,NM,Otero,29714.6016123705,46.57680080939621,12651.7806789952,19.83130974653228,622.015652413304,2.5425754268038916,7545.91202491243,11.828004490669514,4737.09344072168,7.425260499273759
939,20171,KS,Scott,9.7,9.7,30.6,2,2,0.41467966,0,0.0,1,0.20733983,0,0.0,5.666666666666666,1.147795557356019,2,2,0.0,0.4427717,0.4051043,-8.507181,KS,Scott,448.238827816055,9.081013529498684,53.38367960415,1.0815170098085494,0.249055350564959,0.012559523477809332,126.774311772674,2.5683612595760534,58.6948365761385,1.1891174346867606
2621,48365,TX,Panola,10.5,10.9,28.3,1,4,0.168933187,0,0.0,18,0.760199341,1,0.0422333,12.999999999999998,0.5412156536219817,3,4,33.33333,0.1293884,0.1665279,28.70386,TX,Panola,4697.49562758364,19.740694350242226,1930.86343936828,8.114235331014791,426.014174002401,4.595126458876075,1154.99091781367,4.853718767077114,705.417512251144,2.9644373518706675
2644,48415,TX,Scurry,9.1,9.1,27.7,2,2,0.119005117,0,0.0,12,0.714030703,0,0.0,10.0,0.5839075090505663,1,1,0.0,0.0624142,0.0583908,-6.446343,TX,Scurry,5806.52797105712,34.31551309649028,2260.82639434018,13.361068461321315,181.951671506033,3.116678168996797,1584.04165292449,9.361395029398324,941.534251981067,5.564294379652899
1588,30073,MT,Pondera,8.6,10.4,27.6,0,2,0.327385824,0,0.0,5,0.81846456,2,0.327385824,5.416666666666666,0.8786158421194916,3,3,0.0,0.5126452,0.486618,-5.077045,MT,Pondera,2790.26757118435,45.34808339321225,1510.91801432235,24.555794154434423,101.37559447956,4.436568686195185,767.182272752531,12.468426340850497,418.029054862046,6.793906303624995
986,21063,KY,Elliott,12.1,13.2,30.8,0,1,0.129416332,0,0.0,1,0.129416332,0,0.0,9.166666666666666,1.1782347900599828,5,3,-40.0,0.5770341,0.3856041,-33.17481,KY,Elliott,15.6738200029358,0.19961563936494903,10.4744530571625,0.13339853613299157,304.87530781787,10.99442148639993,3.06270044879057,0.039005354671301194,1.98174735240173,0.025238758945513626
2450,48005,TX,Angelina,9.3,12.9,30.0,8,10,0.116239873,2,0.023248,40,0.46495949,7,0.081367911,53.916666666666664,0.6155081414508108,8,9,12.5,0.0965705,0.1027432,6.391918,TX,Angelina,27886.6885066803,32.13825875774199,11480.6410157494,13.23096543286282,1082.00007641156,3.4802189656209714,7471.7366698202,8.61086845814869,4213.2237965499,4.855566717624436
1887,37117,NC,Martin,13.6,15.9,32.8,1,5,0.204850869,0,0.0,17,0.696492953,3,0.122910521,29.916666666666668,1.2485566823866563,9,7,-22.22222,0.3831907,0.2921414,-23.76084,NC,Martin,548.051650720361,2.2364890868000855,251.33502492498,1.0256479286879412,574.025565060816,5.5633413942703624,128.590799121033,0.5247533120629789,112.15188755081,0.4576694044105693
398,13053,GA,Chattahoochee,6.8,6.4,30.8,1,1,0.08364701,0,0.0,1,0.08364701,2,0.167294019,4.0,0.30681905346322,2,2,0.0,0.1452011,0.1534095,5.653141,GA,Chattahoochee,8651.32026774864,76.78459454822615,2446.37371775968,21.712733804559154,79.1459803431157,2.946611330719125,1912.60046770051,16.97524157007642,363.679200421018,3.2278263994055028
580,17021,IL,Christian,8.9,10.5,27.1,5,8,0.229832222,1,0.028729,17,0.488393473,1,0.028729,31.333333333333332,0.904594183651866,8,9,12.5,0.2321061,0.2598302,11.94461,IL,Christian,3502.28552894984,10.064038876292644,892.686831762582,2.5651920452947756,238.55314970686,1.697283171162291,552.871494702327,1.5887111916733536,467.443595985664,1.3432287240967355
2222,42099,PA,Perry,9.7,10.3,30.3,7,10,0.217988403,0,0.0,17,0.370580285,1,0.0217988,29.583333333333332,0.6473235450719532,5,5,0.0,0.1104948,0.1094068,-0.9846625,PA,Perry,5930.85426787742,12.90185618107294,2005.61160499092,4.362965487591463,564.739367724574,3.1544398577030326,1421.9836342991,3.0933534214342275,850.407079321355,1.8499577526623483
1782,36027,NY,Dutchess,8.3,9.6,26.7,32,99,0.333460205,3,0.0101049,104,0.35030163,26,0.087575407,150.25,0.5053443741129147,31,26,-16.12903,0.1059829,0.0874473,-17.48926,NY,Dutchess,106487.481636547,35.79555532880217,17431.1171426999,5.859435386536566,3292.45353725993,3.0495563722131522,22817.1980009348,7.669955763235762,14152.6726113119,4.757392772586424
510,13293,GA,Upson,12.5,11.9,29.9,1,8,0.292397661,1,0.0365497,16,0.584795322,1,0.0365497,39.75,1.492677431468269,8,4,-50.0,0.2910784,0.1502065,-48.39655,GA,Upson,4929.53092197446,18.154645608126028,2222.26919652923,8.184249241443782,564.245875375624,5.2654523644608435,1246.23304364323,4.589669810493242,836.58478222363,3.081003138598424
1153,24005,MD,Baltimore,9.1,10.4,27.1,119,128,0.159639215,9,0.0112246,254,0.316784068,70,0.087302696,458.6666666666666,0.5610910284562044,76,97,27.63158,0.0963912,0.118661,23.10356,MD,Baltimore,163117.497687996,20.262313244367096,24573.6358092617,3.0525155999674176,3529.298200357,1.11434513690763,36259.9964270031,4.504185119666881,23954.3410233075,2.9755873419848853
131,5061,AR,Howard,11.8,13.4,32.3,1,5,0.363874536,1,0.072774907,11,0.800523979,0,0.0,11.166666666666668,0.8130081300813009,5,4,-20.0,0.3495281,0.2912268,-16.68001,AR,Howard,2027.85693527428,14.70633791626862,1011.13887002526,7.332938356844296,134.364717360641,2.5044681707482015,487.29041308361,3.5339068321387344,411.252295935258,2.9824664292933356
1794,36051,NY,Livingston,8.7,10.5,28.7,9,12,0.183430144,1,0.0152858,34,0.51971874,0,0.0,42.833333333333336,0.6609062387491642,9,9,0.0,0.1427054,0.1388675,-2.689396,NY,Livingston,11133.9769068796,17.026251902924777,5756.22920719587,8.802515876616566,612.894597694504,2.510936940040575,1511.58355113199,2.3115372457785845,1120.70933220367,1.7138062670372518
290,8119,CO,Teller,5.3,6.9,18.0,4,4,0.174390722,1,0.0435977,12,0.523172167,2,0.087195361,13.25,0.5665056223010817,5,5,0.0,0.2313101,0.2137757,-7.580487,CO,Teller,5985.54015979545,25.634004967004064,1086.16841358284,4.651684854744497,109.966440151392,1.121534320768914,1340.19449126729,5.739590969024796,720.939576425186,3.0875356592085055
1046,21189,KY,Owsley,12.2,13.1,29.7,0,1,0.212179079,0,0.0,3,0.636537237,0,0.0,7.166666666666666,1.5177184808696877,1,4,300.0,0.2149613,0.8470986,294.0703,KY,Owsley,69.128130619024,1.4537987511887278,32.6467187472881,0.6865766298062691,180.126554760938,9.411000771208883,13.9867584830807,0.2941484433876067,12.0441752188689,0.2532949572843092
2122,40121,OK,Pittsburg,11.6,13.1,31.2,2,6,0.130755988,1,0.0217927,37,0.80632859,2,0.0435853,55.083333333333336,1.2227697863020186,8,7,-12.5,0.1786671,0.1553898,-13.02833,OK,Pittsburg,19047.8555785503,41.55563317527391,8204.76549734126,17.89987454968968,490.540228564003,2.723407886764396,3993.20815422565,8.711757214097018,3282.61956773265,7.161506136380326
551,16051,ID,Jefferson,7.9,8.8,27.8,1,2,0.077609624,0,0.0,8,0.310438494,1,0.0388048,6.916666666666667,0.2592065157647529,2,2,0.0,0.0837907,0.0749513,-10.54939,ID,Jefferson,3048.07532299213,11.660578894384583,1280.54905161696,4.898810449950115,176.430600294746,2.1658556382856125,1174.89491921394,4.494624786587376,261.980255554762,1.002219799367873
2322,46067,SD,Hutchinson,8.8,10.5,29.3,0,5,0.682593857,0,0.0,6,0.819112628,1,0.136518771,9.416666666666668,1.310236074393581,6,7,16.66667,0.8344923,0.9739808,16.71537,SD,Hutchinson,2689.25666026735,36.623405423768894,1067.40270081981,14.536329849105407,103.085543494843,3.518277934977577,600.660353917108,8.180040227660465,730.110337992583,9.942943456251982
1851,37043,NC,Clay,10.3,13.1,25.4,1,1,0.09487666,0,0.0,6,0.569259962,1,0.09487666,8.0,0.7534375588623092,3,3,0.0,0.2912339,0.2825391,-2.985504,NC,Clay,393.638227128977,3.718128148946604,172.986813836622,1.6339549809825444,190.400170638227,4.085840571635773,65.8908587799378,0.6223751655798413,97.2665270874495,0.918735497189473
1680,31163,NE,Sherman,9.3,10.7,30.0,0,2,0.639181847,0,0.0,1,0.319590924,0,0.0,2.0,0.6435006435006435,3,3,0.0,1.025641,0.965251,-5.888036,NE,Sherman,1163.55613324402,36.914851943020935,479.067908078599,15.198854951732201,30.0984854368007,2.1622475170115445,290.499107130418,9.216342231294988,246.905565168676,7.833298387331091
340,12071,FL,Lee,10.8,9.9,24.9,49,119,0.194350127,13,0.0212315,209,0.341337619,47,0.076760134,470.7499999999999,0.7295135698047241,76,72,-5.263158,0.129096,0.1115772,-13.57039,FL,Lee,173207.871435655,27.993010378220585,55611.6512813524,8.987683519032185,4422.49651770869,1.7021517053124455,35011.6673814236,5.658414714316772,40817.2483218379,6.5966843562769535
891,20075,KS,Hamilton,9.2,8.9,29.8,0,1,0.374672162,0,0.0,1,0.374672162,0,0.0,3.0,1.1367942402425162,1,1,0.0,0.3859514,0.3789314,-1.818866,KS,Hamilton,2690.00000129812,100.00000004825725,1284.69299013867,47.75810372262714,27.3132673623864,2.576723336074189,763.000004801498,28.36431244615234,365.999999732997,13.605947945464573
2263,45037,SC,Edgefield,10.0,14.1,33.8,1,3,0.11097958,0,0.0,11,0.406925126,0,0.0,14.083333333333332,0.534532710871573,3,4,33.33333,0.1172425,0.1518199,29.49228,SC,Edgefield,1674.92859476289,6.206887510701835,709.844146597654,2.6305137913568797,385.128212627821,4.119899578817083,369.729689523426,1.3701304040149191,304.049788041863,1.1267362906869112
591,17045,IL,Edgar,9.5,10.1,27.5,3,3,0.160702807,2,0.107135205,11,0.589243625,0,0.0,12.0,0.6596668682315431,4,4,0.0,0.2147766,0.219889,2.380303,IL,Edgar,6745.10650563743,36.310866201751885,2442.04493772227,13.146236744844261,226.609484215137,2.890795818537275,1422.84475421728,7.659586316845823,1396.81194816895,7.519444165422858
2167,41059,OR,Umatilla,8.9,9.9,31.4,6,14,0.186172688,4,0.0531922,25,0.332451229,6,0.079788295,57.5,0.7485029940119761,15,14,-6.666667,0.2060807,0.1822442,-11.5666,OR,Umatilla,19162.6768028635,25.250928069764395,7200.07626141593,9.48764150458687,618.973325242412,2.3006739713143474,5117.13869349842,6.742925448350117,2684.9884030382,3.5380468882686555
2182,42019,PA,Butler,8.7,10.9,25.0,23,32,0.174541964,4,0.0218177,67,0.365447237,16,0.087270982,104.75,0.5663080499540466,19,23,21.05263,0.1034503,0.1243445,20.19727,PA,Butler,41421.0415740395,22.52833188698018,6420.46710437194,3.4920032983280613,1527.66894973914,2.097437975889531,9602.4826937627,5.222657587626971,5659.76311326433,3.078266913916051
74,2122,AK,Kenai Peninsula,6.3,7.2,29.9,9,21,0.383239653,1,0.0182495,21,0.383239653,9,0.164245565,34.0,0.5975395430579965,11,11,0.0,0.2050288,0.1933216,-5.710014,AK,Kenai Peninsula,11289.6882833852,20.37849870647148,3272.63723097349,5.907287420529766,739.638728237537,3.337569280436519,2785.38163640416,5.027764686650108,1356.68449876516,2.4488889869407218
3012,56019,WY,Johnson,8.3,8.7,22.9,3,3,0.350262697,0,0.0,6,0.700525394,0,0.0,7.833333333333334,0.9092667827432773,3,2,-33.33333,0.3570154,0.2321532,-34.97388,WY,Johnson,1713.57991183096,19.997431576974677,416.223426540773,4.857316215903524,51.1469899287828,1.3523794269905554,380.667091577782,4.442374741250811,275.813781498934,3.2187394269918777
2260,45031,SC,Darlington,13.5,14.6,32.4,6,14,0.20376974,1,0.014555,51,0.742304054,3,0.0436649,85.66666666666667,1.2572339873885245,10,9,-10.0,0.1495595,0.132083,-11.68537,SC,Darlington,9759.37737016358,14.209719384056116,3844.14718217429,5.597104267809569,1011.96729320607,3.8142825118015535,2221.86662293852,3.23505281364354,1768.83466613231,2.5754352239080824
2767,51115,VA,Mathews,11.7,11.9,27.6,1,2,0.222296321,0,0.0,6,0.666888963,0,0.0,5.0,0.5628095452498875,2,1,-50.0,0.2209945,0.1125619,-49.06573,VA,Mathews,0.0,0.0,0.0,0.0,119.327871058247,3.0929982130183253,0.0,0.0,0.0,0.0
1743,35013,NM,Doña Ana,6.1,7.4,25.1,14,24,0.116844611,3,0.0146056,56,0.272637426,7,0.0340797,124.91666666666666,0.5825114442708698,22,24,9.090909,0.1092202,0.1119168,2.468988,NM,Doña Ana,88229.5564595645,42.16808842752553,43781.8611225018,20.92493111626837,2178.77981773514,2.8845784802933063,24351.0762541694,11.638257948874891,11022.093164616,5.2678560096237215
2684,48501,TX,Yoakum,9.4,8.6,27.4,0,2,0.252908447,0,0.0,4,0.505816894,1,0.126454224,8.0,0.9907120743034057,2,3,50.0,0.2635046,0.371517,40.99072,TX,Yoakum,904.46381475407,11.479423972002412,341.367307620104,4.332622256886711,29.639419046219,1.1214309135913356,308.037150042928,3.9095970306248,90.2659909717086,1.1456528870631884
1885,37113,NC,Macon,10.4,11.7,27.1,2,8,0.236546422,0,0.0,23,0.680070964,2,0.0591366,22.333333333333332,0.6594033875618805,6,5,-16.66667,0.1812579,0.1476276,-18.55383,NC,Macon,2189.89111615632,6.455666281930076,809.770013493291,2.3871529199141888,612.359230296456,4.196828389393845,446.65654057932,1.316716409938447,462.775483048884,1.3642340753755204
47,1097,AL,Mobile,12.2,15.6,30.3,32,60,0.145633189,8,0.0194178,260,0.631077152,28,0.067962155,463.3333333333335,1.119335678301316,64,55,-14.0625,0.1564287,0.1328708,-15.05987,AL,Mobile,112773.596023804,27.306484392870562,43729.8180481008,10.588538772688286,3561.68040283322,2.248038882086168,28440.3247174174,6.886410564228217,14569.0263508074,3.5276776186481578
2126,40129,OK,Roger Mills,11.5,12.5,32.1,0,1,0.276625173,0,0.0,7,1.93637621,0,0.0,3.0,0.794912559618442,1,1,0.0,0.2967359,0.2649709,-10.70482,OK,Roger Mills,1988.58932615007,54.52671582533781,629.346488698532,17.256553021621386,27.8759420558662,1.8963225888344353,467.724764935766,12.824918150144393,356.62608165097,9.778614797120099
44,1091,AL,Marengo,15.9,20.2,37.6,2,4,0.188946623,1,0.0472367,22,1.039206424,0,0.0,25.583333333333332,1.254023495580282,8,6,-25.0,0.3791469,0.2941032,-22.43027,AL,Marengo,5586.990602225,26.570555011295,3183.29170505663,15.139067413595042,412.511904870593,4.8331799047521145,1400.57667575949,6.6608487932633755,882.342361939178,4.1962351354885525
2982,55101,WI,Racine,8.4,10.6,29.8,17,39,0.199866755,2,0.0102496,78,0.399733511,16,0.081996618,134.33333333333334,0.6896067872366276,51,56,9.803922,0.2548611,0.2874788,12.79821,WI,Racine,57826.0881666489,29.59248759858803,14959.6584126722,7.655601824220196,1461.62804386534,1.9320670498279469,14246.3564352112,7.290569697868666,6958.38747920972,3.560953225666155
787,19055,IA,Delaware,7.9,10.6,28.7,3,4,0.225288651,0,0.0,9,0.506899465,0,0.0,14.0,0.7966313872766586,4,3,-25.0,0.2307471,0.1707067,-26.01997,IA,Delaware,1552.07928934543,8.737217346011203,518.504957271069,2.9188524953336468,144.581299541586,2.0473137856355987,376.341662977379,2.118563741147146,315.561564578598,1.7764105189067663
1754,35033,NM,Mora,6.3,11.3,20.2,0,2,0.411607327,0,0.0,3,0.61741099,0,0.0,3.25,0.6907545164718385,1,0,-100.0,0.20008,0.0,-100.0,NM,Mora,1600.19190095325,32.78409958929011,739.289838334548,15.146278187554763,103.290495004665,4.88602152339948,328.026623419945,6.720479889775559,331.731130311586,6.796376363687482
2370,47033,TN,Crockett,12.9,13.8,32.7,1,5,0.343100254,0,0.0,12,0.823440609,0,0.0,16.75,1.1454557888258223,5,3,-40.0,0.3457815,0.2051563,-40.66881,TN,Crockett,109.852763052191,0.7531383727697175,55.9389488302524,0.38351123563864253,154.770882161188,2.710998111073533,25.0214174040547,0.1715440655700994,22.3478161248026,0.15321415141095981
1138,23007,ME,Franklin,7.9,9.4,26.0,2,12,0.389876214,1,0.0324897,28,0.909711167,6,0.194938107,44.25,1.444662095984329,8,10,25.0,0.268754,0.3264773,21.47814,ME,Franklin,468.117183376828,1.5214417036428367,181.310459276449,0.5892825639510173,590.330477398029,4.54100367229253,58.7945681920619,0.19108999022381012,140.497453287711,0.45663498858460416
763,19007,IA,Appanoose,8.7,11.6,28.7,2,7,0.54280397,0,0.0,10,0.775434243,2,0.155086849,15.083333333333332,1.1876640419947506,5,5,0.0,0.3912363,0.3937008,0.6299194,IA,Appanoose,1858.72717007715,14.423272833686273,767.433818026803,5.955100628748374,149.1085860838,2.649877129621468,385.346167071601,2.990192962455195,416.94961440251,3.235428062407931
2420,47133,TN,Overton,11.1,15.1,29.6,2,7,0.318355467,0,0.0,8,0.363834819,0,0.0,23.333333333333332,1.0515247108307044,7,5,-28.57143,0.334592,0.2253267,-32.65628,TN,Overton,350.124539334697,1.5854935440596702,157.293749929477,0.7122843360479871,288.573895158174,3.2718128702740814,79.7564151165276,0.361166576626942,59.2819668173113,0.2684506942775497
562,16073,ID,Owyhee,7.7,9.5,26.5,0,3,0.259807742,0,0.0,2,0.173205162,1,0.086602581,8.25,0.7212168895882507,3,3,0.0,0.2685044,0.2622607,-2.325375,ID,Owyhee,2056.33709909418,17.840856316971887,835.256117987053,7.246712805717968,61.8998299992213,1.5186415603341832,495.515656540197,4.299112064377902,349.333285993479,3.0308284399920096
874,20031,KS,Coffey,9.2,9.9,30.7,0,3,0.350221807,0,0.0,7,0.817184217,0,0.0,8.583333333333334,1.0095663765388536,1,1,0.0,0.1184553,0.1176194,-0.7057071,KS,Coffey,4619.72013407883,53.71143046249075,1437.97066108273,16.71864505386269,73.0822597745524,2.089855870018656,1136.72950038419,13.216248115151611,786.034525513159,9.138873683445633
1941,38035,ND,Grand Forks,7.0,7.3,29.3,5,8,0.120268198,3,0.0451006,28,0.420938693,4,0.0601341,41.33333333333333,0.6125997944826496,16,14,-12.5,0.2398693,0.2074935,-13.49726,ND,Grand Forks,20015.9261421302,29.93662395436832,7759.97527535692,11.606131041050718,333.96162613965,1.2180823071074514,4509.95193132095,6.745265448199923,1566.26476249531,2.342568556401056
331,12053,FL,Hernando,10.8,13.4,25.3,14,27,0.15702239,4,0.0232626,52,0.302413492,4,0.0232626,105.50000000000001,0.6083426554877698,19,23,21.05263,0.1108214,0.1326245,19.67403,FL,Hernando,56350.9301334403,32.6146443027702,18225.4155936148,10.54845848060216,1345.0506441262,1.8747656897709946,10952.5952193947,6.339114481817535,15936.310789889,9.223576375400224
2882,54009,WV,Brooke,14.2,16.1,32.1,0,5,0.207013621,0,0.0,15,0.621040864,2,0.082805449,19.416666666666664,0.8140136111460472,3,4,33.33333,0.1274372,0.1676938,31.58932,WV,Brooke,5402.78848155738,22.447083308643396,1528.06263220814,6.348675193020649,344.094038075983,3.4340722362872556,1037.4621523621,4.310366664016369,1095.20264607205,4.550262354364742
719,18099,IN,Marshall,9.5,11.1,28.0,5,11,0.233416798,1,0.0212197,21,0.445613886,1,0.0212197,38.916666666666664,0.8275915844391516,5,5,0.0,0.1070962,0.1063287,-0.7166517,IN,Marshall,7428.19219869171,15.787533099597692,2080.65718732229,4.4221317024554,636.330435691142,3.655810845059991,2019.25661755792,4.291633796429236,1123.03535325091,2.3868469389617863
257,8047,CO,Gilpin,4.9,6.3,17.4,0,2,0.373692078,0,0.0,1,0.186846039,0,0.0,3.5833333333333335,0.6525830146300007,0,0,0.0,0.0,0.0,0.0,CO,Gilpin,0.0,0.0,0.0,0.0,87.1503419999485,3.5426968292661987,0.0,0.0,0.0,0.0
2250,45011,SC,Barnwell,13.6,17.3,34.6,0,4,0.176905046,1,0.0442263,17,0.751846446,1,0.0442263,31.25,1.4068971726994417,6,6,0.0,0.2620545,0.2701243,3.079418,SC,Barnwell,513.482237523684,2.269936066149525,188.722344271609,0.8342794052942354,569.97931796453,6.377747767310395,111.097883369584,0.4911271976021573,99.6738754300313,0.44062541633893865
1729,34029,NJ,Ocean,9.4,11.2,25.8,55,105,0.183206746,5,0.0087241,147,0.256489445,80,0.139586092,309.66666666666686,0.533475746665059,46,50,8.695652,0.0807496,0.0861371,6.67181,NJ,Ocean,281416.744259834,48.80902727000227,59216.7271597938,10.270571704553642,7156.15205009437,3.236452302280018,60921.0567681006,10.566171280718564,67374.1966465805,11.685406318186873
603,17069,IL,Hardin,9.1,13.0,27.2,0,1,0.230202578,0,0.0,2,0.460405157,0,0.0,4.0,0.9394081728511038,2,2,0.0,0.4537205,0.4697041,3.522781,IL,Hardin,1025.03567760659,23.72767772237477,380.55096893713,8.809050206878009,97.8899574207139,5.111747123797071,187.400184550818,4.3379672349726395,231.961229305445,5.369472900589004
